Gene_symbol	Ensembl_ID	Mask	Breast_SA_hom.alt	Breast_SA_het	Breast_SA_hom.ref	Breast_BP_hom.alt	Breast_BP_het	Breast_BP_hom.ref	fisher.p.val	adj.fisher.p.val	log.odds.ratio	lower.CI	upper.CI	p.val	adj.p.val	log.odds.ratio.sex	lower.CI.sex	upper.CI.sex	p.val.sex	adj.p.val.sex
ZBTB10	ENSG00000205189	M1	0	8	99	1	4	40	0.350525293359143	1	0.553929309510341	-0.489974522481419	1.5978331415021	0.298330327043265	0.988588830851927	NA	NA	NA	NA	NA
ZNF155	ENSG00000204920	M1	0	2	105	0	2	43	0.582118269584025	1	0.892760234462312	-1.09906813325593	2.88458860218056	0.379684233885635	0.988588830851927	NA	NA	NA	NA	NA
BRCA1	ENSG00000012048	M1	0	3	104	0	1	44	1	1	-0.23841102344333	-2.52886493690239	2.05204289001573	0.838345166957037	0.988588830851927	NA	NA	NA	NA	NA
TRIM17	ENSG00000162931	M1	0	2	105	0	1	44	1	1	0.176623535678128	-2.2495003661038	2.60274743746006	0.886537570500501	0.988588830851927	NA	NA	NA	NA	NA
PIF1	ENSG00000140451	M1	0	2	105	0	1	44	1	1	0.176623535678126	-2.24950036610381	2.60274743746006	0.886537570500502	0.988588830851927	NA	NA	NA	NA	NA
FAAH	ENSG00000117480	M1	0	2	105	0	1	44	1	1	0.176623535678119	-2.24950036610381	2.60274743746005	0.886537570500506	0.988588830851927	NA	NA	NA	NA	NA
SREBF2	ENSG00000198911	M1	0	0	107	0	1	44	0.29605263157898	1	15.4547069771811	-1714.69055148332	1745.59996543768	0.986031680025008	0.988588830851927	NA	NA	NA	NA	NA
LHPP	ENSG00000107902	M1	0	0	107	0	1	44	0.29605263157898	1	15.4547069771816	-1714.69055148379	1745.59996543815	0.986031680025012	0.988588830851927	NA	NA	NA	NA	NA
CCNDBP1	ENSG00000166946	M1	0	0	107	0	1	44	0.29605263157898	1	15.4547069772723	-1714.69055155559	1745.59996551014	0.98603168002551	0.988588830851927	NA	NA	NA	NA	NA
SEC16A	ENSG00000148396	M1	0	1	106	0	0	45	1	1	-13.7092911723376	-1743.85454920663	1716.43596686195	0.987609092110948	0.988588830851927	NA	NA	NA	NA	NA
LRSAM1	ENSG00000148356	M1	0	1	106	0	0	45	1	1	-13.7092911723377	-1743.85454920665	1716.43596686197	0.987609092110948	0.988588830851927	NA	NA	NA	NA	NA
CYP4A22	ENSG00000162365	M1	0	2	105	0	0	45	1	1	-14.718770388398	-2031.75980674643	2002.32226596963	0.988588830851927	0.988588830851927	NA	NA	NA	NA	NA
GTF2IRD1	ENSG00000006704	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIB2	ENSG00000071575	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FKBP6	ENSG00000077800	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKP1	ENSG00000081277	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM234B	ENSG00000084444	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIK3IP1	ENSG00000100100	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATRNL1	ENSG00000107518	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VNN2	ENSG00000112303	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUFB3	ENSG00000119013	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RTN2	ENSG00000125744	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UGGT1	ENSG00000136731	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC2A8	ENSG00000136856	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTF2B	ENSG00000137947	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCHP	ENSG00000139437	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DOP1B	ENSG00000142197	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SUSD4	ENSG00000143502	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UCHL1	ENSG00000154277	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMPRSS15	ENSG00000154646	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPRG1L	ENSG00000158109	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSIP1	ENSG00000164985	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRDX3	ENSG00000165672	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLIN1	ENSG00000166819	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAS2R1	ENSG00000169777	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAMB2	ENSG00000172037	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CIMIP2C	ENSG00000173557	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARHGAP45	ENSG00000180448	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RWDD4	ENSG00000182552	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SKA2	ENSG00000182628	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLEKHN1	ENSG00000187583	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARID2	ENSG00000189079	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NF1	ENSG00000196712	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPRED2	ENSG00000198369	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDC42BPB	ENSG00000198752	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPATA31D1	ENSG00000214929	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNFRSF13B	ENSG00000240505	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HLA-DMB	ENSG00000242574	M1	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEC16A	ENSG00000148396	M2	0	7	100	0	9	36	0.020113434778886	1	1.27296567581001	0.214320254598256	2.33161109702177	0.0184354528220208	0.368709056440416	NA	NA	NA	NA	NA
TMPRSS15	ENSG00000154646	M2	0	1	106	0	2	43	0.209341233879433	1	1.59538615897649	-0.831085021832669	4.02185733978564	0.197515875552683	0.988588830851927	NA	NA	NA	NA	NA
PKP1	ENSG00000081277	M2	0	1	106	0	2	43	0.209341233879433	1	1.59538615897649	-0.83108502183267	4.02185733978564	0.197515875552683	0.988588830851927	NA	NA	NA	NA	NA
ZNF155	ENSG00000204920	M2	0	2	105	0	2	43	0.582118269584025	1	0.892760234462312	-1.09906813325593	2.88458860218056	0.379684233885635	0.988588830851927	NA	NA	NA	NA	NA
SLC2A8	ENSG00000136856	M2	0	6	101	0	3	42	0.724654312031437	1	0.184303717996663	-1.24755734818081	1.61616478417413	0.800825326246789	0.988588830851927	NA	NA	NA	NA	NA
FAAH	ENSG00000117480	M2	0	3	104	0	1	44	1	1	-0.23841102344333	-2.52886493690239	2.05204289001573	0.838345166957036	0.988588830851927	NA	NA	NA	NA	NA
BRCA1	ENSG00000012048	M2	0	3	104	0	1	44	1	1	-0.23841102344333	-2.52886493690239	2.05204289001573	0.838345166957037	0.988588830851927	NA	NA	NA	NA	NA
TRIM17	ENSG00000162931	M2	0	2	105	0	1	44	1	1	0.176623535678128	-2.2495003661038	2.60274743746006	0.886537570500501	0.988588830851927	NA	NA	NA	NA	NA
ARID2	ENSG00000189079	M2	0	2	105	0	1	44	1	1	0.176623535678119	-2.24950036610381	2.60274743746005	0.886537570500506	0.988588830851927	NA	NA	NA	NA	NA
ZBTB10	ENSG00000205189	M2	0	14	93	1	4	40	0.296335711569427	1	0.0194868789163	-0.952503642629678	0.991477400462278	0.968655838244417	0.988588830851927	NA	NA	NA	NA	NA
CYP4A22	ENSG00000162365	M2	0	3	104	0	0	45	0.555254444057248	1	-14.7283398394198	-1661.63546206784	1632.178782389	0.986015382136499	0.988588830851927	NA	NA	NA	NA	NA
SREBF2	ENSG00000198911	M2	0	0	107	0	1	44	0.29605263157898	1	15.4547069771811	-1714.69055148332	1745.59996543768	0.986031680025008	0.988588830851927	NA	NA	NA	NA	NA
LHPP	ENSG00000107902	M2	0	0	107	0	1	44	0.29605263157898	1	15.4547069771816	-1714.69055148379	1745.59996543815	0.986031680025012	0.988588830851927	NA	NA	NA	NA	NA
CCNDBP1	ENSG00000166946	M2	0	0	107	0	1	44	0.29605263157898	1	15.4547069772723	-1714.69055155559	1745.59996551014	0.98603168002551	0.988588830851927	NA	NA	NA	NA	NA
PIF1	ENSG00000140451	M2	1	10	96	0	5	40	0.838287187717109	1	-0.00924856969585118	-1.04948929675276	1.03099215736105	0.986097052127913	0.988588830851927	NA	NA	NA	NA	NA
FKBP6	ENSG00000077800	M2	0	1	106	0	0	45	1	1	-13.7092911723375	-1743.85454920656	1716.43596686188	0.987609092110947	0.988588830851927	NA	NA	NA	NA	NA
LRSAM1	ENSG00000148356	M2	0	1	106	0	0	45	1	1	-13.7092911723377	-1743.85454920665	1716.43596686197	0.987609092110948	0.988588830851927	NA	NA	NA	NA	NA
PSIP1	ENSG00000164985	M2	0	1	106	0	0	45	1	1	-13.7092911723377	-1743.85454920672	1716.43596686205	0.987609092110948	0.988588830851927	NA	NA	NA	NA	NA
PRDX3	ENSG00000165672	M2	0	1	106	0	0	45	1	1	-13.7092911723378	-1743.85454920674	1716.43596686206	0.987609092110948	0.988588830851927	NA	NA	NA	NA	NA
DOP1B	ENSG00000142197	M2	0	2	105	0	0	45	1	1	-14.7187703883979	-2031.75980674638	2002.32226596958	0.988588830851927	0.988588830851927	NA	NA	NA	NA	NA
GTF2IRD1	ENSG00000006704	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIB2	ENSG00000071575	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM234B	ENSG00000084444	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIK3IP1	ENSG00000100100	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATRNL1	ENSG00000107518	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
VNN2	ENSG00000112303	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUFB3	ENSG00000119013	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RTN2	ENSG00000125744	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UGGT1	ENSG00000136731	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTF2B	ENSG00000137947	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCHP	ENSG00000139437	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SUSD4	ENSG00000143502	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UCHL1	ENSG00000154277	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TPRG1L	ENSG00000158109	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLIN1	ENSG00000166819	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAS2R1	ENSG00000169777	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAMB2	ENSG00000172037	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CIMIP2C	ENSG00000173557	M2	0	0	107	0	0	45	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
